0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 6, 6, 6, 6, 38, 3, 33, 3, 1, 1, 1, 92, 16, 40, 8, 32, 37, 0, 0, 36, 8, 28, 0, 0, 0, 0, 6, 6, 6, 6, 3, 0.93, 6, 6, 6, 6
1, 2, 2, 2, 1, 36, 4, 14, 18, 4, 44, 43, 1928, 336, 639, 81, 558, 969, 1, 0, 520, 63, 457, 1, 1, 1, 1, 8, 8, 8, 7, 3, 1.52, 120, 120, 120, 72
1, 4, 4, 4, 3, 36, 2, 8, 2, 0, 2, 1, 137, 30, 76, 7, 69, 38, 25, 1, 49, 7, 42, 7, 7, 7, 6, 7, 7, 7, 6, 3, 0.5, 8, 8, 8, 7
0, 2, 2, 2, 1, 28, 0, 0, 0, 0, 1, 0, 58, 6, 33, 5, 28, 23, 2, 0, 33, 5, 28, 2, 2, 2, 1, 2, 2, 2, 1, 1, 0.7, 2, 2, 2, 1
0, 10, 10, 10, 8, 58, 0, 50, 13, 3, 1, 1, 119, 12, 62, 7, 55, 50, 0, 0, 56, 7, 49, 0, 0, 0, 0, 10, 10, 10, 8, 3, 0.81, 10, 10, 10, 8
0, 2, 2, 2, 1, 13, 2, 9, 2, 1, 12, 12, 255, 54, 125, 21, 104, 80, 0, 0, 119, 19, 100, 0, 0, 0, 0, 6, 6, 6, 3, 2, 0.64, 34, 34, 34, 22
0, 1, 1, 1, 1, 38, 0, 0, 0, 0, 1, 0, 276, 72, 39, 1, 38, 165, 1, 0, 27, 1, 26, 1, 1, 1, 1, 1, 1, 1, 1, 0, 4.23, 1, 1, 1, 1
0, 2, 2, 2, 1, 12, 0, 0, 0, 0, 1, 0, 46, 8, 13, 1, 12, 25, 2, 0, 13, 1, 12, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1.92, 2, 2, 2, 1
0, 3, 3, 3, 1, 12, 0, 6, 0, 0, 3, 2, 71, 20, 41, 7, 34, 11, 9, 1, 41, 7, 34, 5, 5, 5, 1, 5, 5, 5, 1, 2, 0.27, 9, 9, 9, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 66, 22, 9, 9, 0, 35, 0, 0, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.89, 0, 0, 0, 0
1, 5, 5, 5, 1, 17, 1, 16, 1, 1, 1, 1, 35, 6, 25, 4, 21, 5, 0, 0, 17, 4, 13, 0, 0, 0, 0, 5, 5, 5, 1, 2, 0.2, 5, 5, 5, 1
0, 4, 4, 4, 1, 29, 3, 20, 6, 0, 20, 19, 762, 135, 410, 32, 378, 222, 4, 1, 381, 27, 354, 3, 3, 3, 1, 41, 41, 41, 8, 4, 0.54, 95, 95, 95, 32
