loc
0.02
0.02
0.02
0.02
0.03
0.04
0.04
0.05
0.05
0.05
0.18
0.29
0.35
0.46
0.58
0.71
0.77
0.89
0.98
5.55
10.55
15.75
21.24
26.32
30.86
36.02
40.20
45.22
50.16
54.90
60.00
64.51
69.59
74.60
79.87
84.95
89.76
94.79
100.00
