data-size, loc, accuracy, precision, recall, false-alarm, d2h, f1-score, ifa, training-time
0.01, 0.01, 48.83, 48.83, 100.00, 100.00, 100.00, 65.57, 1, 4.85
0.02, 0.02, 48.83, 0.00, 0.00, 0.00, 100.00, 0.00, 0, 5.11
0.03, 0.03, 48.83, 48.83, 100.00, 100.00, 100.00, 65.57, 1, 8.92
0.04, 0.03, 48.83, 48.83, 100.00, 100.00, 100.00, 65.57, 1, 10.50
0.05, 0.05, 48.83, 48.83, 100.00, 100.00, 100.00, 65.57, 1, 13.40
0.06, 0.05, 48.83, 48.83, 100.00, 100.00, 100.00, 65.57, 1, 16.62
