size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.46, 50.46, 100.00, 100.00, 100.00, 67.03, 128.03
0.02, 50.46, 50.46, 100.00, 100.00, 100.00, 67.03, 125.40
0.03, 50.46, 50.46, 100.00, 100.00, 100.00, 67.03, 125.69
0.04, 50.46, 50.46, 100.00, 100.00, 100.00, 67.03, 125.38
0.05, 50.46, 50.46, 100.00, 100.00, 100.00, 67.03, 123.63
0.06, 50.46, 50.46, 100.00, 100.00, 100.00, 67.03, 124.32
0.07, 50.46, 50.46, 100.00, 100.00, 100.00, 67.03, 124.01
0.08, 50.46, 50.46, 100.00, 100.00, 100.00, 67.03, 125.83
0.09, 50.46, 50.46, 100.00, 100.00, 100.00, 67.03, 123.90
0.1, 50.46, 50.46, 100.00, 100.00, 100.00, 67.03, 221.03
0.2, 50.46, 50.46, 100.00, 100.00, 100.00, 67.03, 181.06
0.3, 50.46, 50.46, 100.00, 100.00, 100.00, 67.03, 124.73
0.4, 50.46, 50.46, 100.00, 100.00, 100.00, 67.03, 143.92
0.5, 49.54, 0.00, 0.00, 0.00, 100.00, 0.00, 129.04
0.6, 50.46, 50.46, 100.00, 100.00, 100.00, 67.03, 124.02
0.7, 50.46, 50.46, 100.00, 100.00, 100.00, 67.03, 125.71
0.8, 49.54, 0.00, 0.00, 0.00, 100.00, 0.00, 125.50
0.9, 49.54, 0.00, 0.00, 0.00, 100.00, 0.00, 124.84
1, 49.54, 0.00, 0.00, 0.00, 100.00, 0.00, 138.16
5, 50.09, 50.55, 50.07, 49.89, 70.59, 50.26, 134.72
10, 50.82, 51.50, 43.62, 41.83, 70.21, 47.18, 153.87
15, 51.61, 52.08, 51.45, 48.22, 68.43, 51.71, 158.85
20, 50.73, 51.54, 39.55, 37.89, 71.34, 44.71, 183.12
25, 51.04, 52.15, 36.13, 33.78, 72.25, 42.64, 174.75
30, 51.28, 52.08, 43.14, 40.43, 69.77, 47.14, 181.45
35, 50.98, 53.81, 20.23, 17.69, 81.71, 29.36, 202.00
40, 51.24, 57.68, 12.66, 9.46, 87.85, 20.74, 201.93
45, 51.24, 57.68, 12.66, 9.46, 87.85, 20.74, 208.06
50, 51.56, 62.77, 9.85, 5.95, 90.35, 17.00, 217.59
55, 51.17, 59.50, 10.14, 7.03, 90.13, 17.30, 254.91
60, 51.48, 60.31, 11.26, 7.54, 89.06, 18.94, 387.61
65, 51.41, 67.33, 7.22, 3.57, 92.85, 13.02, 238.10
70, 51.39, 67.34, 7.11, 3.52, 92.95, 12.85, 243.04
75, 51.36, 66.59, 7.25, 3.70, 92.83, 13.05, 256.20
80, 51.36, 66.59, 7.25, 3.70, 92.83, 13.05, 263.61
85, 51.63, 62.42, 10.41, 6.38, 89.82, 17.81, 269.08
90, 51.57, 59.84, 12.26, 8.38, 88.14, 20.33, 279.90
95, 50.76, 52.41, 26.28, 24.31, 77.62, 34.96, 284.61
100, 51.55, 59.79, 12.16, 8.33, 88.24, 20.18, 288.58
