size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 31.94
0.02, 50.50, 0.00, 0.00, 0.00, 100.00, 0.00, 34.97
0.03, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 31.09
0.04, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 31.08
0.05, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 30.65
0.06, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 30.66
0.07, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 34.70
0.08, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 32.53
0.09, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 31.69
0.1, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 31.19
0.2, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 31.46
0.3, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 31.64
0.4, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 32.63
0.5, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 30.86
0.6, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 30.86
0.7, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 31.43
0.8, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 34.30
0.9, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 32.48
1, 49.50, 49.50, 100.00, 100.00, 100.00, 66.18, 31.31
5, 51.12, 50.74, 42.65, 40.58, 70.26, 46.30, 32.26
10, 49.60, 48.95, 42.36, 43.31, 72.10, 45.37, 34.46
15, 48.93, 48.18, 42.07, 44.35, 72.95, 44.87, 35.34
20, 48.93, 47.87, 35.64, 38.04, 74.76, 40.81, 38.13
25, 50.07, 49.31, 30.84, 31.07, 75.82, 37.90, 41.27
30, 49.12, 48.49, 44.67, 46.52, 72.29, 46.45, 42.62
35, 50.31, 49.74, 36.12, 35.78, 73.22, 41.80, 48.08
40, 50.31, 49.73, 34.77, 34.46, 73.77, 40.88, 49.58
45, 50.26, 49.65, 34.01, 33.80, 74.15, 40.32, 49.73
50, 48.83, 46.96, 25.94, 28.72, 79.44, 33.37, 57.07
55, 49.64, 48.87, 37.27, 38.23, 73.46, 42.24, 51.71
60, 47.36, 46.81, 46.49, 51.79, 74.46, 46.60, 51.16
65, 48.55, 47.53, 37.85, 40.96, 74.44, 42.09, 51.94
70, 48.41, 47.24, 36.12, 39.55, 75.13, 40.89, 54.31
75, 49.41, 48.87, 47.84, 49.06, 71.61, 48.30, 55.95
80, 50.12, 49.48, 36.60, 36.63, 73.22, 42.03, 56.64
85, 49.03, 48.31, 42.46, 44.54, 72.76, 45.14, 57.91
90, 47.98, 46.13, 30.36, 34.75, 77.83, 36.57, 60.95
95, 47.65, 47.15, 47.74, 52.45, 74.04, 47.40, 67.51
100, 48.74, 47.23, 30.26, 33.15, 77.22, 36.84, 62.57
