size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 34.87
0.02, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 34.13
0.03, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 33.13
0.04, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 33.10
0.05, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 33.37
0.06, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 35.45
0.07, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 38.03
0.08, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 36.34
0.09, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 42.68
0.1, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 57.11
0.2, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 66.83
0.3, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 50.14
0.4, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 51.74
0.5, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 43.74
0.6, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 56.29
0.7, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 59.25
0.8, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 41.79
0.9, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 47.30
1, 47.81, 47.81, 100.00, 100.00, 100.00, 64.65, 39.64
5, 49.36, 47.85, 65.81, 65.70, 74.07, 55.36, 37.92
10, 49.98, 44.31, 18.03, 20.76, 84.56, 25.59, 44.43
15, 48.28, 46.01, 47.09, 50.63, 73.23, 46.49, 74.15
20, 50.68, 46.99, 24.63, 25.45, 79.55, 32.28, 66.08
25, 51.25, 49.01, 48.97, 46.66, 69.15, 48.94, 64.34
30, 50.02, 42.58, 13.00, 16.06, 88.47, 19.89, 77.71
35, 51.58, 49.15, 36.95, 35.02, 72.13, 42.13, 87.47
40, 50.68, 48.46, 49.56, 48.29, 69.83, 48.95, 75.70
45, 49.41, 46.69, 40.99, 42.87, 72.94, 43.60, 73.35
50, 50.54, 47.46, 32.22, 32.67, 75.25, 38.33, 86.17
55, 50.16, 47.98, 50.44, 50.09, 70.46, 49.13, 76.49
60, 48.80, 45.71, 37.83, 41.16, 74.56, 41.35, 71.72
65, 50.54, 48.17, 45.42, 44.77, 70.59, 46.70, 72.48
70, 49.98, 47.96, 54.48, 54.15, 70.74, 50.96, 77.92
75, 47.86, 45.86, 50.25, 54.33, 73.67, 47.90, 76.21
80, 50.87, 48.04, 33.79, 33.48, 74.19, 39.63, 79.27
85, 49.88, 46.35, 30.64, 32.49, 76.59, 36.84, 77.15
90, 49.46, 45.99, 32.81, 35.29, 75.90, 38.25, 97.96
95, 50.45, 48.11, 46.50, 45.94, 70.51, 47.24, 87.68
100, 48.70, 46.70, 51.53, 53.88, 72.48, 48.94, 83.59
