size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 52.70, 52.70, 100.00, 100.00, 100.00, 68.98, 0.74
0.02, 51.68, 51.68, 100.00, 100.00, 100.00, 68.10, 1.03
0.03, 51.68, 51.68, 100.00, 100.00, 100.00, 68.10, 1.02
0.04, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 1.58
0.05, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 1.68
0.06, 50.15, 51.84, 37.62, 35.91, 71.98, 43.55, 1.96
0.07, 50.15, 50.67, 64.02, 63.41, 72.90, 56.52, 2.32
0.08, 50.15, 50.67, 64.02, 63.41, 72.90, 56.52, 2.78
0.09, 50.15, 50.97, 72.53, 71.75, 76.83, 59.82, 2.70
0.1, 50.15, 51.48, 44.88, 43.42, 70.17, 47.90, 2.85
0.2, 50.15, 49.98, 92.83, 92.84, 93.11, 64.93, 5.08
0.3, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 7.43
0.4, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 9.60
0.5, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 12.32
0.6, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 15.64
0.7, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 16.82
0.8, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 19.32
0.9, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 21.96
1, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 25.55
5, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 121.56
10, 50.15, 50.42, 58.46, 58.05, 71.38, 54.09, 264.07
15, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 425.43
20, 50.15, 50.80, 72.04, 71.39, 76.67, 59.54, 677.55
25, 50.15, 50.07, 98.00, 97.99, 98.01, 66.23, 932.15
30, 50.15, 50.43, 81.34, 81.08, 83.20, 62.21, 1066.90
35, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 1190.74
40, 50.15, 50.20, 67.14, 66.97, 74.59, 57.40, 1485.29
45, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 1951.19
50, 50.15, 50.46, 49.33, 48.88, 70.40, 49.84, 2226.31
55, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 2449.48
60, 50.15, 51.20, 51.34, 50.14, 69.87, 51.22, 2618.71
65, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 3033.12
70, 50.15, 51.20, 51.34, 50.14, 69.87, 51.22, 3204.05
75, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 3466.56
80, 50.15, 51.20, 51.34, 50.14, 69.87, 51.22, 3687.40
85, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 3741.33
90, 50.15, 51.20, 51.34, 50.14, 69.87, 51.22, 4198.77
95, 50.15, 50.15, 100.00, 100.00, 100.00, 66.75, 4489.52
100, 50.15, 51.20, 51.34, 50.14, 69.87, 51.22, 4725.16
