size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 51.22, 0.00, 0.00, 0.00, 100.00, 0.00, 300.59
0.02, 51.22, 0.00, 0.00, 0.00, 100.00, 0.00, 337.15
0.03, 48.78, 48.78, 100.00, 100.00, 100.00, 65.53, 257.69
0.04, 48.78, 48.78, 100.00, 100.00, 100.00, 65.53, 323.19
0.05, 48.78, 48.78, 100.00, 100.00, 100.00, 65.53, 233.41
0.06, 51.22, 0.00, 0.00, 0.00, 100.00, 0.00, 235.71
0.07, 48.78, 48.78, 100.00, 100.00, 100.00, 65.53, 234.37
0.08, 48.78, 48.78, 100.00, 100.00, 100.00, 65.53, 238.16
0.09, 48.78, 48.78, 100.00, 100.00, 100.00, 65.53, 232.93
0.1, 48.78, 48.78, 100.00, 100.00, 100.00, 65.53, 237.73
0.2, 51.22, 0.00, 0.00, 0.00, 100.00, 0.00, 231.26
0.3, 51.22, 0.00, 0.00, 0.00, 100.00, 0.00, 237.11
0.4, 48.78, 48.78, 100.00, 100.00, 100.00, 65.53, 233.76
0.5, 49.81, 48.81, 59.50, 59.42, 71.91, 53.58, 236.01
0.6, 49.81, 48.81, 59.50, 59.42, 71.91, 53.58, 314.71
0.7, 49.94, 48.83, 54.65, 54.54, 70.93, 51.52, 238.56
0.8, 49.61, 48.05, 40.60, 41.81, 72.63, 43.96, 235.72
0.9, 49.99, 48.23, 34.37, 35.14, 74.44, 40.09, 238.81
1, 49.81, 48.52, 47.47, 47.96, 71.13, 47.94, 252.27
5, 48.95, 48.56, 78.71, 79.39, 82.19, 60.02, 257.29
10, 50.63, 46.92, 9.26, 9.98, 91.28, 15.44, 269.70
15, 48.90, 48.58, 81.33, 81.98, 84.08, 60.78, 282.20
20, 50.90, 48.06, 8.16, 8.40, 92.22, 13.92, 299.74
25, 49.32, 48.36, 57.59, 58.57, 72.31, 52.52, 331.66
30, 51.01, 46.27, 2.68, 2.96, 97.37, 5.05, 324.16
35, 49.91, 47.73, 28.32, 29.53, 77.52, 35.50, 357.87
40, 50.97, 48.95, 12.13, 12.05, 88.69, 19.41, 362.70
45, 49.05, 48.36, 65.70, 66.81, 75.10, 55.66, 397.89
50, 49.53, 47.84, 38.42, 39.89, 73.37, 42.57, 452.46
55, 50.15, 48.21, 29.73, 30.41, 76.57, 36.73, 383.65
60, 50.08, 48.01, 28.38, 29.27, 77.36, 35.63, 418.31
65, 50.79, 49.02, 22.13, 21.92, 80.90, 30.45, 415.47
70, 50.39, 48.93, 39.03, 38.79, 72.26, 43.38, 442.82
75, 50.46, 48.86, 33.47, 33.36, 74.42, 39.68, 437.89
80, 50.36, 48.70, 33.04, 33.14, 74.71, 39.32, 449.76
85, 50.16, 48.54, 36.16, 36.52, 73.54, 41.40, 461.09
90, 50.60, 48.76, 25.01, 25.02, 79.06, 33.02, 465.49
95, 50.67, 48.86, 24.21, 24.13, 79.54, 32.33, 480.47
100, 50.47, 48.59, 26.52, 26.72, 78.19, 34.27, 492.08
