size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 185.00
0.02, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 176.44
0.03, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 168.36
0.04, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 171.66
0.05, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 191.29
0.06, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 186.93
0.07, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 183.73
0.08, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 167.94
0.09, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 171.73
0.1, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 174.65
0.2, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 192.50
0.3, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 176.98
0.4, 49.21, 49.56, 65.45, 67.16, 75.53, 56.36, 169.65
0.5, 49.58, 49.80, 52.38, 53.25, 71.44, 51.01, 176.56
0.6, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 175.28
0.7, 49.86, 50.06, 57.53, 57.87, 71.79, 53.48, 188.32
0.8, 49.12, 49.02, 33.56, 35.19, 75.19, 39.79, 173.17
0.9, 49.79, 0.00, 0.00, 0.00, 100.00, 0.00, 168.83
1, 49.79, 0.00, 0.00, 0.00, 100.00, 0.00, 180.02
5, 49.29, 49.31, 35.22, 36.51, 74.36, 41.04, 198.12
10, 49.23, 49.46, 51.53, 53.09, 71.89, 50.42, 213.44
15, 49.23, 49.38, 44.83, 46.34, 72.05, 46.95, 210.99
20, 50.54, 50.76, 50.24, 49.15, 69.94, 50.45, 225.98
25, 49.62, 48.57, 5.89, 6.29, 94.32, 10.49, 237.06
30, 50.06, 50.36, 37.81, 37.59, 72.66, 43.14, 248.41
35, 49.21, 44.50, 4.66, 5.86, 95.52, 8.42, 264.70
40, 50.64, 51.34, 32.30, 30.87, 74.41, 39.60, 285.00
45, 49.79, 0.00, 0.00, 0.00, 100.00, 0.00, 280.49
50, 49.78, 45.45, 0.13, 0.16, 99.87, 0.27, 299.29
55, 49.79, 0.00, 0.00, 0.00, 100.00, 0.00, 310.08
60, 50.67, 51.13, 39.23, 37.81, 71.57, 44.35, 345.55
65, 51.15, 51.75, 39.90, 37.51, 70.84, 45.01, 333.52
70, 50.79, 51.18, 43.12, 41.48, 70.40, 46.75, 360.35
75, 50.14, 51.08, 16.44, 15.88, 85.05, 24.84, 356.12
80, 50.93, 51.60, 36.66, 34.67, 72.21, 42.82, 375.29
85, 49.89, 50.33, 14.25, 14.18, 86.92, 22.17, 378.21
90, 50.33, 50.67, 40.41, 39.67, 71.59, 44.91, 408.08
95, 49.95, 53.53, 2.44, 2.13, 97.59, 4.65, 401.72
100, 50.42, 50.69, 46.41, 45.53, 70.32, 48.41, 430.14
