size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 0.13
0.02, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 0.26
0.03, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 0.27
0.04, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 0.33
0.05, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 1.37
0.06, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 1.44
0.07, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 1.53
0.08, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 1.57
0.09, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 1.61
0.1, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 4.66
0.2, 48.24, 48.24, 100.00, 100.00, 100.00, 65.04, 18.48
0.3, 48.24, 48.46, 96.50, 96.71, 96.77, 64.48, 22.73
0.4, 48.24, 49.19, 82.82, 83.27, 85.02, 61.68, 33.00
0.5, 48.24, 49.31, 76.80, 77.28, 80.69, 60.01, 39.66
0.6, 48.24, 49.31, 76.80, 77.28, 80.69, 60.01, 40.61
0.7, 48.24, 49.31, 76.80, 77.28, 80.69, 60.01, 45.26
0.8, 48.24, 49.70, 73.40, 73.63, 78.29, 59.22, 49.90
0.9, 48.24, 49.78, 77.28, 77.43, 80.70, 60.51, 50.44
1, 48.24, 49.78, 77.28, 77.43, 80.70, 60.51, 54.15
5, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 73.39
10, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 72.47
15, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 84.19
20, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 68.97
25, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 70.40
30, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 69.98
35, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 69.02
40, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 69.36
45, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 77.24
50, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 86.73
55, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 69.33
60, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 78.37
65, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 71.10
70, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 71.12
75, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 71.58
80, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 72.96
85, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 71.07
90, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 71.02
95, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 69.19
100, 48.24, 49.81, 76.80, 76.93, 80.35, 60.38, 69.39
