size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 0.29
0.02, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 1.50
0.03, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 1.61
0.04, 50.77, 50.77, 100.00, 100.00, 100.00, 67.30, 1.95
0.05, 50.77, 49.56, 56.63, 57.07, 71.68, 52.81, 7.59
0.06, 50.77, 49.56, 56.63, 57.07, 71.68, 52.81, 6.84
0.07, 50.77, 49.56, 56.63, 57.07, 71.68, 52.81, 7.06
0.08, 50.77, 49.56, 56.63, 57.07, 71.68, 52.81, 11.37
0.09, 50.77, 49.67, 80.08, 80.29, 82.72, 61.27, 11.98
0.1, 50.77, 49.67, 80.08, 80.29, 82.72, 61.27, 11.89
0.2, 50.77, 49.93, 81.93, 81.97, 83.94, 62.00, 17.84
0.3, 50.77, 49.93, 81.93, 81.97, 83.94, 62.00, 18.38
0.4, 50.77, 50.07, 92.38, 92.36, 92.67, 64.90, 19.44
0.5, 50.77, 50.07, 92.38, 92.36, 92.67, 64.90, 20.62
0.6, 50.77, 50.07, 92.38, 92.36, 92.67, 64.90, 22.27
0.7, 50.77, 50.07, 92.38, 92.36, 92.67, 64.90, 23.00
0.8, 50.77, 50.07, 92.38, 92.36, 92.67, 64.90, 24.28
0.9, 50.77, 50.07, 92.38, 92.36, 92.67, 64.90, 25.87
1, 50.77, 50.07, 92.38, 92.36, 92.67, 64.90, 28.37
5, 50.77, 49.79, 93.74, 93.79, 94.00, 64.99, 71.86
10, 50.77, 52.09, 32.35, 30.54, 74.23, 39.87, 170.79
15, 50.77, 50.52, 97.22, 97.17, 97.21, 66.44, 233.59
20, 50.77, 52.65, 33.67, 31.34, 73.36, 41.03, 341.10
25, 50.77, 50.35, 96.21, 96.16, 96.23, 66.06, 403.24
30, 50.77, 51.77, 29.70, 28.25, 75.76, 37.70, 529.40
35, 50.77, 50.29, 95.59, 95.54, 95.65, 65.86, 585.30
40, 50.77, 51.73, 29.62, 28.19, 75.82, 37.62, 745.44
45, 50.77, 50.27, 95.37, 95.32, 95.44, 65.79, 793.50
50, 50.77, 52.07, 30.45, 28.73, 75.25, 38.39, 999.91
55, 50.77, 50.39, 94.80, 94.72, 94.87, 65.75, 1063.83
60, 50.77, 52.04, 41.52, 39.54, 70.60, 46.14, 1287.34
65, 50.77, 50.48, 96.96, 96.90, 96.95, 66.35, 1345.73
70, 50.77, 61.23, 7.45, 4.85, 92.68, 13.26, 1467.18
75, 50.77, 50.46, 95.24, 95.16, 95.28, 65.92, 1524.62
80, 50.77, 54.95, 17.85, 15.12, 83.53, 26.91, 1624.15
85, 50.77, 50.44, 95.11, 95.02, 95.15, 65.88, 1653.28
90, 50.77, 51.90, 41.43, 39.59, 70.70, 46.03, 1775.90
95, 50.77, 50.35, 96.21, 96.16, 96.23, 66.06, 1851.51
100, 50.77, 54.23, 17.23, 14.95, 84.11, 26.12, 2197.68
