size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.21, 50.23, 91.35, 91.28, 91.69, 64.77, 247.52
0.02, 49.74, 49.97, 84.90, 85.71, 87.03, 62.86, 276.96
0.03, 49.74, 49.97, 84.90, 85.71, 87.03, 62.86, 169.06
0.04, 49.39, 49.75, 79.81, 81.29, 83.76, 61.24, 187.23
0.05, 50.17, 50.20, 93.87, 93.90, 94.10, 65.37, 149.03
0.06, 50.17, 50.20, 93.87, 93.90, 94.10, 65.37, 166.93
0.07, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 169.91
0.08, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 206.73
0.09, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 200.29
0.1, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 232.78
0.2, 50.21, 50.21, 100.00, 100.00, 100.00, 66.81, 213.78
0.3, 50.57, 50.45, 87.68, 86.85, 87.72, 64.00, 157.23
0.4, 49.74, 49.89, 25.12, 25.44, 79.08, 33.37, 151.50
0.5, 49.59, 49.80, 49.22, 50.04, 71.29, 49.46, 146.30
0.6, 49.33, 49.67, 69.26, 70.75, 77.14, 57.80, 190.20
0.7, 49.64, 49.87, 57.90, 58.68, 72.22, 53.54, 161.84
0.8, 49.37, 49.64, 57.95, 59.28, 72.67, 53.43, 186.03
0.9, 49.79, 0.00, 0.00, 0.00, 100.00, 0.00, 148.50
1, 49.79, 0.00, 0.00, 0.00, 100.00, 0.00, 143.38
5, 49.13, 49.25, 43.09, 44.77, 72.41, 45.92, 152.64
10, 50.21, 50.24, 88.56, 88.47, 89.20, 64.06, 158.18
15, 50.01, 50.12, 89.98, 90.31, 90.86, 64.33, 156.90
20, 50.21, 50.24, 88.56, 88.47, 89.20, 64.06, 168.34
25, 50.29, 52.65, 9.86, 8.94, 90.59, 16.58, 219.14
30, 50.29, 52.65, 9.86, 8.94, 90.59, 16.58, 203.56
35, 50.29, 52.65, 9.86, 8.94, 90.59, 16.58, 192.38
40, 50.29, 52.65, 9.86, 8.94, 90.59, 16.58, 174.12
45, 50.29, 52.65, 9.86, 8.94, 90.59, 16.58, 182.48
50, 50.29, 52.65, 9.86, 8.94, 90.59, 16.58, 202.86
55, 50.29, 52.65, 9.86, 8.94, 90.59, 16.58, 238.90
60, 50.29, 52.65, 9.86, 8.94, 90.59, 16.58, 253.81
65, 50.29, 52.65, 9.86, 8.94, 90.59, 16.58, 264.51
70, 51.02, 56.97, 9.96, 7.59, 90.36, 16.93, 191.74
75, 50.29, 52.65, 9.86, 8.94, 90.59, 16.58, 197.85
80, 50.29, 52.65, 9.86, 8.94, 90.59, 16.58, 195.75
85, 50.96, 55.95, 10.95, 8.70, 89.47, 18.29, 226.49
90, 50.96, 55.95, 10.95, 8.70, 89.47, 18.29, 239.25
95, 50.96, 55.95, 10.95, 8.70, 89.47, 18.29, 201.77
100, 50.96, 55.95, 10.95, 8.70, 89.47, 18.29, 201.81
