size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.37
0.02, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.37
0.03, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.32
0.04, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.33
0.05, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.28
0.06, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.26
0.07, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.25
0.08, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.25
0.09, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.27
0.1, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.25
0.2, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.25
0.3, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.25
0.4, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.25
0.5, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.25
0.6, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.25
0.7, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.27
0.8, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.26
0.9, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.25
1, 48.39, 48.39, 100.00, 100.00, 100.00, 65.17, 0.28
5, 48.90, 47.99, 67.05, 68.12, 75.67, 55.90, 1.31
10, 49.28, 47.17, 40.29, 42.30, 73.18, 43.41, 2.75
15, 49.42, 46.77, 32.85, 35.05, 75.75, 38.54, 5.08
20, 52.13, 51.41, 19.32, 17.12, 82.47, 28.05, 9.48
25, 51.52, 49.82, 26.28, 24.82, 77.79, 34.36, 11.63
30, 48.39, 46.74, 47.83, 51.09, 73.02, 47.23, 14.08
35, 51.85, 50.23, 52.08, 48.37, 68.09, 51.09, 15.53
40, 50.02, 48.39, 49.47, 49.46, 70.71, 48.88, 18.68
45, 48.95, 47.46, 51.40, 53.35, 72.17, 49.30, 18.57
50, 48.90, 46.37, 35.85, 38.86, 75.01, 40.39, 19.91
55, 48.20, 46.86, 52.66, 55.98, 73.31, 49.54, 20.01
60, 49.23, 46.95, 37.97, 40.22, 73.93, 41.94, 22.25
65, 49.51, 46.96, 33.62, 35.60, 75.32, 39.14, 23.27
70, 49.65, 47.79, 43.86, 44.93, 71.90, 45.69, 24.31
75, 48.57, 47.10, 51.01, 53.71, 72.70, 48.93, 25.84
80, 50.26, 48.50, 45.31, 45.11, 70.89, 46.80, 28.32
85, 48.85, 46.68, 40.10, 42.93, 73.70, 43.09, 31.37
90, 48.62, 46.51, 41.26, 44.47, 73.68, 43.68, 32.62
95, 50.30, 48.21, 36.43, 36.68, 73.40, 41.45, 34.06
100, 49.60, 47.36, 37.29, 38.86, 73.77, 41.68, 34.62
