size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.29
0.02, 50.62, 0.00, 0.00, 0.00, 100.00, 0.00, 0.29
0.03, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.29
0.04, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.32
0.05, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.29
0.06, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.29
0.07, 50.62, 0.00, 0.00, 0.00, 100.00, 0.00, 0.31
0.08, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.30
0.09, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.30
0.1, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.31
0.2, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.30
0.3, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.33
0.4, 49.38, 49.38, 100.00, 100.00, 100.00, 66.07, 0.32
0.5, 50.10, 49.61, 66.90, 66.28, 74.09, 56.92, 0.85
0.6, 50.13, 49.62, 65.01, 64.38, 73.27, 56.23, 0.97
0.7, 49.77, 49.13, 48.13, 48.62, 71.10, 48.57, 1.62
0.8, 49.87, 49.28, 52.09, 52.30, 70.93, 50.59, 2.66
0.9, 50.05, 49.17, 33.92, 34.21, 74.41, 40.09, 2.62
1, 49.65, 48.98, 47.29, 48.04, 71.32, 48.07, 3.33
5, 49.64, 49.23, 63.27, 63.66, 73.50, 55.32, 18.48
10, 50.99, 51.11, 17.22, 16.07, 84.32, 25.72, 36.35
15, 50.81, 51.37, 7.05, 6.51, 93.18, 12.37, 51.65
20, 50.33, 48.56, 9.87, 10.20, 90.70, 16.38, 64.01
25, 49.95, 48.72, 25.72, 26.40, 78.83, 33.62, 78.77
30, 49.92, 47.01, 11.20, 12.31, 89.65, 18.06, 93.21
35, 50.46, 47.69, 3.35, 3.58, 96.72, 6.25, 106.91
40, 50.66, 50.49, 4.51, 4.32, 95.59, 8.27, 118.08
45, 50.39, 45.13, 2.20, 2.61, 97.84, 4.19, 130.52
50, 49.89, 48.33, 21.46, 22.38, 81.67, 29.68, 136.61
55, 50.00, 48.96, 29.68, 30.18, 76.52, 36.91, 146.64
60, 50.23, 48.89, 17.41, 17.75, 84.48, 25.64, 161.14
65, 49.33, 47.62, 26.13, 28.04, 79.01, 33.70, 165.93
70, 50.03, 48.34, 17.43, 18.18, 84.54, 25.59, 183.52
75, 50.32, 47.11, 4.99, 5.46, 95.17, 9.00, 196.23
80, 50.49, 49.77, 28.29, 27.86, 76.93, 36.03, 211.40
85, 50.34, 45.36, 2.81, 3.30, 97.24, 5.28, 219.20
90, 50.93, 50.55, 28.74, 27.43, 76.35, 36.60, 226.98
95, 50.67, 50.08, 30.09, 29.26, 75.78, 37.55, 238.45
100, 50.87, 50.43, 29.18, 27.98, 76.15, 36.92, 243.87
